z	m	g	c
12	01	46	47
89	02	dd	df
44	03	10	13
a2	04	f6	f2
d1	05	85	80
68	06	3c	3a
34	07	60	67
9a	08	ce	c6
cd	09	99	90
66	0a	32	38
b3	0b	e7	ec
59	0c	0d	01
ac	0d	f8	f5
56	0e	02	0c
ab	0f	ff	f0
d5	10	81	91
ea	11	be	af
f5	12	a1	b3
fa	13	ae	bd
7d	14	29	3d
3e	15	6a	7f
1f	16	4b	5d
0f	17	5b	4c
87	18	d3	cb
c3	19	97	8e
e1	1a	b5	af
f0	1b	a4	bf
78	1c	2c	30
3c	1d	68	75
1e	1e	4a	54
8f	1f	db	c4
c7	20	93	b3
e3	21	b7	96
f1	22	a5	87
f8	23	ac	8f
7c	24	28	0c
be	25	ea	cf
5f	26	0b	2d
2f	27	7b	5c
17	28	43	6b
0b	29	5f	76
05	2a	51	7b
02	2b	56	7d
01	2c	55	79
80	2d	d4	f9
c0	2e	94	ba
60	2f	34	1b
b0	30	e4	d4
58	31	0c	3d
2c	32	78	4a
16	33	42	71
8b	34	df	eb
45	35	11	24
22	36	76	40
11	37	45	72
08	38	5c	64
04	39	50	69
82	3a	d6	ec
41	3b	15	2e
a0	3c	f4	c8
d0	3d	84	b9
e8	3e	bc	82
f4	3f	a0	9f
7a	40	2e	6e
bd	41	e9	a8
5e	42	0a	48
af	43	fb	b8
57	44	03	47
ab	45	ff	ba
d5	46	81	c7
ea	47	be	f9
f5	48	a1	e9
7a	49	2e	67
3d	4a	69	23
1e	4b	4a	01
0f	4c	5b	17
07	4d	53	1e
03	4e	57	19
81	4f	d5	9a
c0	50	94	c4
e0	51	b4	e5
70	52	24	76
38	53	6c	3f
1c	54	48	1c
8e	55	da	8f
c7	56	93	c5
63	57	37	60
b1	58	e5	bd
58	59	0c	55
2c	5a	78	22
16	5b	42	19
0b	5c	5f	03
05	5d	51	0c
82	5e	d6	88
c1	5f	95	ca
60	60	34	54
30	61	64	05
98	62	cc	ae
cc	63	98	fb
66	64	32	56
33	65	67	02
19	66	4d	2b
8c	67	d8	bf
46	68	12	7a
a3	69	f7	9e
51	6a	05	6f
28	6b	7c	17
14	6c	40	2c
8a	6d	de	b3
c5	6e	91	ff
62	6f	36	59
b1	70	e5	95
d8	71	8c	fd
6c	72	38	4a
36	73	62	11
9b	74	cf	bb
cd	75	99	ec
e6	76	b2	c4
f3	77	a7	d0
79	78	2d	55
3c	79	68	11
1e	7a	4a	30
8f	7b	db	a0
c7	7c	93	ef
e3	7d	b7	ca
71	7e	25	5b
b8	7f	ec	93
dc	80	88	08
ee	81	ba	3b
77	82	23	a1
bb	83	ef	6c
5d	84	09	8d
2e	85	7a	ff
17	86	43	c5
8b	87	df	58
c5	88	91	19
62	89	36	bf
31	8a	65	ef
18	8b	4c	c7
0c	8c	58	d4
86	8d	d2	5f
43	8e	17	99
a1	8f	f5	7a
d0	90	84	14
68	91	3c	ad
b4	92	e0	72
5a	93	0e	9d
2d	94	79	ed
96	95	c2	57
cb	96	9f	09
65	97	31	a6
32	98	66	fe
99	99	cd	54
4c	9a	18	82
26	9b	72	e9
93	9c	c7	5b
c9	9d	9d	00
64	9e	30	ae
32	9f	66	f9
99	a0	cd	6d
4c	a1	18	b9
26	a2	72	d0
13	a3	47	e4
89	a4	dd	79
c4	a5	90	35
e2	a6	b6	10
f1	a7	a5	02
78	a8	2c	84
bc	a9	e8	41
5e	aa	0a	a0
af	ab	fb	50
57	ac	03	af
2b	ad	7f	d2
95	ae	c1	6f
4a	af	1e	b1
a5	b0	f1	41
52	b1	06	b7
a9	b2	fd	4f
d4	b3	80	33
ea	b4	be	0a
f5	b5	a1	14
fa	b6	ae	18
7d	b7	29	9e
3e	b8	6a	d2
9f	b9	cb	72
4f	ba	1b	a1
a7	bb	f3	48
d3	bc	87	3b
e9	bd	bd	00
74	be	20	9e
ba	bf	ee	51
dd	c0	89	49
6e	c1	3a	fb
37	c2	63	a1
9b	c3	cf	0c
4d	c4	19	dd
26	c5	72	b7
93	c6	c7	01
49	c7	1d	da
a4	c8	f0	38
d2	c9	86	4f
69	ca	3d	f7
34	cb	60	ab
1a	cc	4e	82
0d	cd	59	94
06	ce	52	9c
83	cf	d7	18
c1	d0	95	45
60	d1	34	e5
30	d2	64	b6
18	d3	4c	9f
0c	d4	58	8c
06	d5	52	87
03	d6	57	81
81	d7	d5	02
c0	d8	94	4c
60	d9	34	ed
b0	da	e4	3e
d8	db	8c	57
6c	dc	38	e4
36	dd	62	bf
1b	de	4f	91
8d	df	d9	06
c6	e0	92	72
63	e1	37	d6
b1	e2	e5	07
d8	e3	8c	6f
6c	e4	38	dc
b6	e5	e2	07
db	e6	8f	69
ed	e7	b9	5e
76	e8	22	ca
bb	e9	ef	06
5d	ea	09	e3
2e	eb	7a	91
17	ec	43	af
0b	ed	5f	b2
85	ee	d1	3f
42	ef	16	f9
a1	f0	f5	05
50	f1	04	f5
a8	f2	fc	0e
54	f3	00	f3
aa	f4	fe	0a
d5	f5	81	74
ea	f6	be	48
f5	f7	a1	56
fa	f8	ae	56
fd	f9	a9	50
7e	fa	2a	d0
bf	fb	eb	10
5f	fc	0b	f7
2f	fd	7b	86
97	fe	c3	3d
